"","country","population","gdp","political_engagement_score","ISO","protected_areas_2018_percent","protected_areas_2019_percent","protected_areas_2020_percent","protected_areas_2021_percent","protected_areas_2022_percent","five_year_average_pa","total_investment_million_usd","municipal_solid_waste","emissions_per_capita","municipal_solid_waste_per_capita","investment_per_capita","emissions_per_capita_scaled","municipal_solid_waste_per_capita_scaled","political_engagement_score_scaled","investment_per_capita_scaled","protected_areas_2022_percent_scaled","dim_1","dim_2","quadrant"
"1","Argentina",42981516,23550.099609375,3.87,"AR",8.80825141581955,8.469773,8.476902,8.476902008,8.6914997,8.58466562476391,4976.306383776,17910550,189002.0275,4167.03542983454,115.777823745817,-0.743610652748362,-0.493724600319273,-0.8065,-0.737170397470628,-0.788243879129607,-0.693633442262544,-0.788982855320047,"Bottom Left"
"2","Austria",8877067,56029.61328125,11.08,"AU",28.397981655605,28.41688,29.09432,29.28332901,29.5004673,28.938595593121,1518.510041827,5219715.5,66007.69434,5880.00011715581,171.059882935096,-0.67922384878224,-0.696682511248844,-0.446,-0.611673465729861,-0.281262758449859,-0.68271558127556,-0.446187244835944,"Bottom Left"
"3","Belgium",11484055,51914.9140625,9.01,"BE",23.293342934656,24.91416,15.42513,15.49014282,15.5545855,18.9354722509312,768.358876083,4765883,95923.64019,4150.0001523852,66.9065827430294,-0.70210111473352,-0.491706202421865,-0.5495,-0.848113999900742,-0.621034481859688,-0.660022132271189,-0.623529696352086,"Bottom Left"
"4","Bulgaria",7025037,22279.361328125,5.96,"BG",34.7035801172141,40.58717,41.04409,41.04456329,41.044857,39.6848520814428,378.360117522,2859190,43644.37322,4069.99991601468,53.8588077930408,-0.653903536957078,-0.482227500982302,-0.702,-0.87773402032475,0,-0.619568329762123,-0.59674680406495,"Bottom Left"
"5","Belarus",9489616,18307.51953125,2.93,"BL",9.35349335261769,9.353494,9.353494,13.84298706,13.8429871,11.1492911025235,1484.198161984,4280000,58364.31734,4510.19303626195,156.402341462921,-0.671691559413354,-0.534383086413935,-0.8535,-0.644947850016502,-0.662735160704787,-0.64422986481347,-0.773636602144258,"Bottom Left"
"6","Brazil",208494896,14596.24609375,1.65,"BR",29.4196676737717,29.41967,30.27737,30.3046875,30.3046875,29.9452165347543,91843.099440417,79069584,489857.7336,3792.39902352334,440.50526512849,-0.801899656397486,-0.449336398422369,-0.9175,0,-0.261669068551025,-0.731387004802462,-0.602833813710205,"Bottom Left"
"7","Canada",35544564,47672.078125,8.26,"CA",9.68557393581083,10.65714,9.903981,11.91143608,12.7079391,10.9732140231622,426.21857693,25103034,563538.3792,7062.41156875634,11.9911043761853,-0.810475723976259,-0.836778661421865,-0.587,-0.972778749028828,-0.690389002938907,-0.81573631146538,-0.684833550393547,"Bottom Left"
"8","Chile",16829442,20361.71484375,13.74,"CH",18.4944542424793,20.41992,20.89808,20.89808083,21.0499763,20.3521022744959,5119.38579605,6517000,85703.28674,3872.38032015559,304.192248088202,-0.695205683569259,-0.458812855817008,-0.313,-0.30944696427301,-0.4871470425637,-0.647927118018809,-0.347118801367342,"Bottom Left"
"9","China",1400050048,16092.30078125,11.7,"CH",15.449041955767,15.61175,15.61605,15.61604595,15.616046,15.5817867811534,5902.52853688426,395081376,12466315.98,2821.90894935779,4.2159410981887,-1,-0.334349417378094,-0.415,-0.990429305999421,-0.619537083537652,-0.866869883475619,-0.570993277907415,"Bottom Left"
"10","Colombia",46406648,12523.0068359375,9.6,"CO",14.8069558212089,14.80696,16.90938,16.90938568,16.4027538,15.9670870602418,2419.931933857,12150120,77570.32327,2618.18522208284,52.146234174401,-0.689103164650322,-0.310211533859217,-0.52,-0.881621768676952,-0.60037005854351,-0.613324838492101,-0.608398365444092,"Bottom Left"
"11","Cyprus",1198575,39544.68359375,8.27,"CY",18.6504409036147,38.53421,38.59827,38.59827423,38.7208405,34.6204071267229,88.523306101,769485.125,6749.550626,6419.99979141898,73.8571270892518,-0.539658424350668,-0.760663518331067,-0.5865,-0.832335427210595,-0.0566213813340852,-0.583859443146748,-0.529691361708936,"Bottom Left"
"12","Germany",83132800,53784.78125,13.17,"DE",37.7519230162364,37.37983,37.79964,37.45127487,37.5871277,37.5939591172473,3167.105862023,50627876,665883.6332,6090.00009623157,38.0969468371449,-0.820689579190233,-0.721564026532805,-0.3415,-0.913515342827895,-0.0842426933050344,-0.800864468658747,-0.404451607226586,"Bottom Left"
